Vivado Simulator 2020.1.1
Time resolution is 1 ps
(   0,   0,  0,   0)	(  17,   0, 17,   0)	(  21,   7, 22,  51)	(   3,  20, 20,   6)	(  10,  18, 20,  20)	(  10, -45, 46, 119)	(  -1, -42, 42,-128)	( -15,  47, 49, -12)	(  -9,  25, 26, -14)	(  40,  -4, 40,  67)	(  67,  44, 80,  40)	(  55,  12, 56,  56)	(  34, -42, 54, 100)	(  17, -39, 42, 111)	(  23,  16, 28,  39)	(  44,  27, 51,  42)	(  57, -27, 63,  81)	(  61, -50, 78,  90)	(  54,   4, 54,  61)	(  29,  -4, 29,  68)	(  28,   9, 29,  52)	(  55,   4, 55,  62)	(  56,   3, 56,  62)	(  -4,   1,  4, -54)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -27,  15, 30, -44)	( -23,   2, 23, -61)	( -16,  12, 20, -38)	( -29,  19, 34, -40)	( -24, -41, 47,-106)	( -12, -44, 45,-118)	( -28,  18, 33, -41)	( -16,  71, 72,  -9)	(  -4,  11, 11, -14)	( -46,  15, 48, -52)	( -55,  21, 58, -49)	(  -6, -23, 23,-118)	(  18, -50, 53, 113)	(   1,  16, 16,   2)	(  -8,  39, 39,  -8)	(  -6, -24, 24,-118)	(   1, -41, 41, 127)	( -22, -35, 41,-105)	( -56, -23, 60, -79)	( -30,  53, 60, -21)	(  41,  58, 71,  25)	(  79, -11, 79,  68)	(  60, -64, 87,  97)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -23,  11, 25, -46)	( -27,   7, 27, -54)	( -44,  -3, 44, -66)	( -25,  40, 47, -22)	(  22, -10, 24,  80)	(  23, -63, 67, 113)	(  14,  12, 18,  35)	(  10,  85, 85,   4)	( -10, -12, 15,-100)	( -34, -29, 44, -92)	( -72,  18, 74, -54)	( -81,  19, 83, -55)	( -45, -32, 55, -89)	( -11,  15, 18, -25)	(  -3,  40, 40,  -3)	(  -1, -20, 20,-126)	(   4, -34, 34, 123)	(   2, -67, 67, 126)	(   2, -26, 26, 124)	(   3,  82, 82,   1)	( -16,  81, 82,  -8)	( -44, -24, 50, -84)	( -20, -47, 51,-112)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  24,  14, 27,  42)	(  44,  20, 48,  47)	(  37, -38, 53,  96)	( -19,  38, 42, -18)	( -36,  22, 42, -42)	(  11, -46, 47, 118)	(  46,  21, 50,  47)	(  10,  36, 37,  11)	( -19, -11, 21, -85)	(   7, -28, 28, 117)	(   5, -22, 22, 118)	( -21,  24, 31, -29)	(  -6,  16, 17, -14)	(  13,  19, 23,  25)	(  -8,  22, 23, -14)	(   1,  10, 10,   4)	(  32, -28, 42,  92)	(  23, -83, 86, 116)	(  15, -19, 24, 100)	(  16,  78, 79,   8)	(  -5,  46, 46,  -4)	( -21, -33, 39,-105)	(  -8,  -1,  8, -69)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  50,  -7, 50,  68)	(  26,  37, 45,  24)	(  24, -66, 70, 113)	( -10, -24, 26,-112)	( -48,  28, 55, -42)	( -20,  23, 30, -29)	(  16,  22, 27,  25)	( -18, -35, 39,-109)	( -47,   2, 47, -63)	(  -9,  23, 24, -15)	(  30, -36, 46,  99)	(   3, -16, 16, 120)	( -33,  36, 48, -29)	( -14,  37, 39, -14)	(  14,  11, 17,  37)	(  -5,  12, 13, -16)	( -50, -44, 66, -93)	( -40, -65, 76,-106)	(   9,   4,  9,  47)	(  14,  61, 62,   9)	(  -2,  26, 26,  -3)	(  -9, -35, 36,-118)	(  -5,  18, 18, -11)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  -3, -14, 14,-120)	( -10,  14, 17, -25)	( -39, -74, 83,-109)	( -13, -23, 26,-107)	(  25,  27, 36,  29)	(   6,  35, 35,   6)	( -26,  14, 29, -44)	(  -2, -37, 37,-126)	(  24,   2, 24,  61)	(  -2,  35, 35,  -2)	(  -8, -16, 17,-110)	(   9, -47, 47, 120)	( -25,  -4, 25, -70)	( -58,  61, 84, -30)	(  -7,  65, 65,  -4)	(  36, -19, 40,  82)	(  36, -59, 69, 105)	(  59, -18, 61,  75)	(  59,   6, 59,  60)	(  29,  34, 44,  28)	(   4,  11, 11,  14)	( -28, -58, 64,-110)	( -35,  37, 50, -30)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -43,  -5, 43, -68)	( -31,   9, 32, -53)	(  26, -40, 47, 104)	(  69,  12, 70,  57)	(  59,  20, 62,  51)	(  29,  -6, 29,  71)	(   6,   0,  6,   0)	(   4,  -2,  4,  81)	(  -7, -19, 20,-114)	( -42,  -5, 42, -68)	( -28,  34, 44, -27)	(  34, -18, 38,  82)	(  47, -52, 70,  98)	(  29,  58, 64,  18)	( -10,  81, 81,  -5)	( -39, -21, 44, -84)	(   4, -14, 14, 116)	(  46,   3, 46,  62)	(  30, -30, 42,  95)	(   5,  16, 16,  12)	(  -8,  -9, 12, -98)	( -26, -87, 90,-116)	( -22,  63, 66, -13)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -26, -19, 32, -89)	( -27,  34, 43, -28)	(   8,  27, 28,  11)	(  41,  19, 45,  47)	(  28,  -9, 29,  75)	(  -8, -43, 43,-121)	( -11,  11, 15, -32)	(  11,   7, 13,  41)	(  -1, -50, 50,-128)	(  -7, -16, 17,-112)	(  16,  81, 82,   8)	(  12,  -9, 15,  89)	(  -3, -63, 63,-127)	(  -1,  53, 53,   0)	( -29,  19, 34, -40)	( -44,  -2, 44, -65)	( -25,  30, 39, -28)	( -24,   2, 24, -61)	(  -3, -25, 25,-124)	(  14,   4, 14,  53)	( -12, -37, 38,-116)	( -22, -86, 88,-118)	(   0,  87, 87,  64)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  -2, -17, 17,-124)	(   9,  42, 42,   8)	( -11,  35, 36, -12)	( -46,   9, 46, -57)	( -45, -10, 46, -72)	( -34, -68, 76,-110)	( -23,  43, 48, -20)	(  12,  31, 33,  15)	(  22, -75, 78, 116)	(  17,  -1, 17,  65)	(  12,  84, 84,   5)	(   9, -19, 21, 109)	(  11, -66, 66, 121)	( -28,  19, 33, -40)	( -47,   5, 47, -60)	( -15,  29, 32, -19)	( -21,  12, 24, -43)	( -64, -22, 67, -77)	( -72,  10, 72, -59)	( -52,   5, 52, -61)	( -30, -44, 53,-104)	(  19, -39, 43, 109)	(  49,  91,103,  20)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  30, -14, 33,  81)	(  13,  33, 35,  15)	(   8,  18, 19,  17)	(  19,   1, 19,  62)	(   5, -15, 15, 114)	(   0, -57, 57, -64)	(  17,  59, 61,  11)	(  -5,  28, 28,  -7)	(  -2, -59, 59,-127)	(  45,  25, 51,  44)	(  40,  48, 62,  28)	(   5, -21, 21, 118)	(  14, -52, 53, 117)	(  43,  -4, 43,  66)	(  51,  18, 54,  51)	(  12,   9, 15,  38)	( -46, -32, 56, -89)	( -39, -14, 41, -78)	( -17,  16, 23, -34)	( -32,   5, 32, -58)	( -30, -20, 36, -88)	( -11,   6, 12, -44)	( -19,  66, 68, -11)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  17,   0, 17,   0)	(  21,   7, 22,  51)	(   3,  20, 20,   6)	(  10,  18, 20,  20)	(  10, -45, 46, 119)	(  -1, -42, 42,-128)	( -15,  47, 49, -12)	(  -9,  25, 26, -14)	(  40,  -4, 40,  67)	(  67,  44, 80,  40)	(  55,  12, 56,  56)	(  34, -42, 54, 100)	(  17, -39, 42, 111)	(  23,  16, 28,  39)	(  44,  27, 51,  42)	(  57, -27, 63,  81)	(  61, -50, 78,  90)	(  54,   4, 54,  61)	(  29,  -4, 29,  68)	(  28,   9, 29,  52)	(  55,   4, 55,  62)	(  56,   3, 56,  62)	(  -4,   1,  4, -54)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -27,  15, 30, -44)	( -23,   2, 23, -61)	( -16,  12, 20, -38)	( -29,  19, 34, -40)	( -24, -41, 47,-106)	( -12, -44, 45,-118)	( -28,  18, 33, -41)	( -16,  71, 72,  -9)	(  -4,  11, 11, -14)	( -46,  15, 48, -52)	( -55,  21, 58, -49)	(  -6, -23, 23,-118)	(  18, -50, 53, 113)	(   1,  16, 16,   2)	(  -8,  39, 39,  -8)	(  -6, -24, 24,-118)	(   1, -41, 41, 127)	( -22, -35, 41,-105)	( -56, -23, 60, -79)	( -30,  53, 60, -21)	(  41,  58, 71,  25)	(  79, -11, 79,  68)	(  60, -64, 87,  97)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	( -23,  11, 25, -46)	( -27,   7, 27, -54)	( -44,  -3, 44, -66)	( -25,  40, 47, -22)	(  22, -10, 24,  80)	(  23, -63, 67, 113)	(  14,  12, 18,  35)	(  10,  85, 85,   4)	( -10, -12, 15,-100)	( -34, -29, 44, -92)	( -72,  18, 74, -54)	( -81,  19, 83, -55)	( -45, -32, 55, -89)	( -11,  15, 18, -25)	(  -3,  40, 40,  -3)	(  -1, -20, 20,-126)	(   4, -34, 34, 123)	(   2, -67, 67, 126)	(   2, -26, 26, 124)	(   3,  82, 82,   1)	( -16,  81, 82,  -8)	( -44, -24, 50, -84)	( -20, -47, 51,-112)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(  24,  14, 27,  42)	(  44,  20, 48,  47)	(  37, -38, 53,  96)	( -19,  38, 42, -18)	( -36,  22, 42, -42)	(  11, -46, 47, 118)	(  46,  21, 50,  47)	(  10,  36, 37,  11)	( -19, -11, 21, -85)	(   7, -28, 28, 117)	(   5, -22, 22, 118)	( -21,  24, 31, -29)	(  -6,  16, 17, -14)	(  13,  19, 23,  25)	(  -8,  22, 23, -14)	(   1,  10, 10,   4)	(  32, -28, 42,  92)	(  23, -83, 86, 116)	(  15, -19, 24, 100)	(  16,  78, 79,   8)	(  -5,  46, 46,  -4)	( -21, -33, 39,-105)	(  -8,  -1,  8, -69)	(   0,   0,  0,   0)	
(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	(   0,   0,  0,   0)	
$finish called at time : 6280 ns : File "C:/Users/ALHINAI/Documents/GitHub/CoV-Descriptor-Project/SobelAccelerator/SobelAccelerator.srcs/sim_1/new/tb_Accelerator.sv" Line 71
